"trust_1","trust_0","spatial_distance","target","followerid","social_distance","spatial_distance-2","trust","s_res","t_res","tage","tlon","tlat","fage","flon","flat"
"1","0.222222222222222",56,"170963694","81325357","315954716",56,"0.611111111111111","4","4","315954716","-118.24368","34.05223","340741895","72.99956","19.06614"
"0.680093936844854","0.5625",7,"821439445","3076704298","170195411",7,"0.621296968422427","1","6","248540633","-1.61125","53.13543","170195411","-80.12477","26.23786"
"1","0.444444444444444",40,"170963694","105546282","315954716",40,"0.722222222222222","4","4","315954716","-118.24368","34.05223","332243627","126.9784","37.566"
"1","1",0,"821439445","193745767","248540633",0,"1","1","6","248540633","-1.61125","53.13543","310740351","-0.12574","51.50853"
"0.737867237255462","1",-1,"170963694","1206790808","234400822",-1,"0.868933618627731",NULL,NULL,"315954716","-118.24368","34.05223","234400822",NULL,NULL
"1","0.5",36,"170963694","10131932","315954716",36,"0.75","4","4","315954716","-118.24368","34.05223","401190228","16.5077","59.36661"
"1","0.444444444444444",40,"170963694","98375693","315954716",40,"0.722222222222222","4","5","315954716","-118.24368","34.05223","334506352","2.15899","41.38879"
"1","0.5",36,"170963694","61417823","315954716",36,"0.75","4","3","315954716","-118.24368","34.05223","346974114","25.46816","65.01236"
"1","0.888888888888889",8,"170963694","16337168","315954716",8,"0.944444444444444","4","5","315954716","-118.24368","34.05223","374225756","-104.9847","39.73915"
"1","0.777777777777778",16,"170963694","23262580","315954716",16,"0.888888888888889","4","5","315954716","-118.24368","34.05223","359430658","-76.61219","39.29038"
"0.988556987157808","0.777777777777778",16,"170963694","186420551","312394603",16,"0.883167382467793","4","1","315954716","-118.24368","34.05223","312394603","-75.25433","42.9459"
"0.55533908007045","1",0,"821439445","702251710060826628","139642858",0,"0.777669540035225","1","1","248540633","-1.61125","53.13543","139642858","-2","54"
"0.978274840763718","0.444444444444444",40,"170963694","200851552","309195655",40,"0.711359642604081","4","4","315954716","-118.24368","34.05223","309195655","-0.08499","39.88901"
"0.660268992329063","0.777777777777778",16,"170963694","2219827992","210258708",16,"0.71902338505342","4","4","315954716","-118.24368","34.05223","210258708","-85.84192","40.27698"
"0.953215595561323","0.833333333333333",12,"170963694","235623503","301399304",12,"0.893274464447328","4","6","315954716","-118.24368","34.05223","301399304","-114.17419","52.3464"
"1","0.777777777777778",16,"170963694","64087918","315954716",16,"0.888888888888889","4","6","315954716","-118.24368","34.05223","346128045","-77.04692","38.80484"
"1","0.777777777777778",16,"170963694","9506902","315954716",16,"0.888888888888889","4","4","315954716","-118.24368","34.05223","403258268","-87.65005","41.85003"
"1","0.777777777777778",16,"170963694","80725300","315954716",16,"0.888888888888889","4","4","315954716","-118.24368","34.05223","340948061","-79.4163","43.70011"
"1","0.777777777777778",16,"170963694","26977589","315954716",16,"0.888888888888889","4","5","315954716","-118.24368","34.05223","357764310","-87.63002","40.12448"
"1","0.4375",9,"821439445","77128292","248540633",9,"0.71875","1","7","248540633","-1.61125","53.13543","342060098","-118.32674","34.09834"
